passenger_id,passenger_name,signup_date,total_rides,total_spent,rating
201.00,Nitya Varma,2022-10-16,12.00,200.11,3.54
202.00,Purab Jani,2023-01-11,60.00,368.52,3.94
203.00,Samar Raman,2022-09-12,91.00,1647.27,4.29
204.00,Tanya Dutt,2023-03-09,35.00,131.80,4.58
205.00,Badal Mangal,2023-04-04,49.00,933.96,4.47
206.00,Krish Upadhyay,2023-02-02,60.00,1314.80,3.41
207.00,Riaan Kaul,2022-10-09,53.00,254.75,3.28
208.00,Dhanush Sodhi,2022-08-10,75.00,1312.28,4.39
209.00,Sana Gill,2023-06-11,76.00,592.57,4.07
210.00,Aayush Singh,2023-06-20,64.00,1625.33,4.42
211.00,Hazel Jhaveri,2023-05-15,71.00,856.42,3.93
212.00,Tanya Chad,2023-04-07,38.00,688.68,4.14
213.00,Pranay Shanker,2023-02-13,14.00,1224.48,4.60
214.00,Neelofar Bhandari,2022-11-01,58.00,340.76,4.54
215.00,Hazel Jaggi,2023-01-03,85.00,837.11,3.35
216.00,Zain Thakur,2022-09-25,77.00,230.33,3.98
217.00,Uthkarsh Gara,2022-09-07,76.00,1120.46,4.43
218.00,Mahika Deep,2022-09-13,15.00,1035.58,4.04
219.00,Dhanuk Tara,2023-02-19,74.00,1606.80,4.27
220.00,Aarush Manne,2023-05-03,42.00,140.89,4.13
221.00,Kiaan Karan,2023-01-08,40.00,1978.25,3.22
222.00,Kiara Rao,2023-06-16,91.00,627.24,3.11
223.00,Kavya Sama,2023-02-11,48.00,151.50,3.93
224.00,Ehsaan Sastry,2023-03-12,98.00,453.00,3.30
225.00,Rhea Khosla,2023-05-07,46.00,1040.97,3.57
226.00,Mehul Butala,2023-01-30,73.00,855.40,3.61
227.00,Shlok Shere,2022-12-01,26.00,761.53,4.50
228.00,Hrishita Gara,2022-10-14,14.00,1410.46,4.37
229.00,Lavanya Ganesh,2023-03-17,87.00,584.41,3.45
230.00,Vidur Goda,2022-09-26,37.00,849.50,3.45
231.00,Ira Ben,2023-02-10,23.00,171.23,4.79
232.00,Indrans De,2023-06-29,44.00,1283.68,3.90
233.00,Indrans Gandhi,2023-03-08,85.00,624.37,4.16
234.00,Anya Thaman,2023-01-20,99.00,558.22,4.28
235.00,Ojas Chandran,2022-12-12,39.00,160.28,3.37
236.00,Shamik Bala,2022-08-30,40.00,1444.81,4.51
237.00,Saira Jayaraman,2023-02-19,78.00,350.41,4.19
238.00,Lakshit Batra,2022-12-04,62.00,1998.98,4.15
239.00,Shlok Brahmbhatt,2022-11-12,51.00,966.90,4.60
240.00,Darshit Shere,2023-01-28,67.00,997.01,4.75
241.00,Saanvi Bandi,2023-02-21,85.00,1676.78,4.47
242.00,Nirvaan Buch,2023-05-17,76.00,1864.08,4.95
243.00,Mannat Kulkarni,2023-01-09,46.00,418.09,3.63
244.00,Indranil Hari,2022-12-22,88.00,726.21,3.92
245.00,Himmat Banik,2023-02-16,13.00,537.54,4.98
246.00,Uthkarsh Shan,2023-02-23,26.00,1304.86,3.07
247.00,Kimaya Jha,2023-02-27,47.00,208.07,4.18
248.00,Dhruv Joshi,2022-09-28,43.00,1092.26,4.90
249.00,Tejas Mangal,2023-04-07,51.00,756.02,4.14
250.00,Eva Dhar,2023-01-11,74.00,1356.22,3.82
251.00,Aarav Dube,2023-03-22,71.00,495.40,3.47
252.00,Nitara Viswanathan,2022-10-22,45.00,425.07,3.24
253.00,Diya Ravel,2022-09-20,65.00,119.06,3.28
254.00,Hiran Shah,2023-07-11,38.00,412.09,4.18
255.00,Lavanya Kohli,2022-12-27,78.00,1595.73,3.57
256.00,Manikya Gour,2023-01-25,22.00,462.08,3.87
257.00,Raghav Wadhwa,2023-01-13,12.00,1248.51,3.39
258.00,Faiyaz Soman,2023-07-07,87.00,856.44,4.26
259.00,Myra Rajagopal,2023-04-18,94.00,526.36,4.58
260.00,Kiara Yohannan,2022-10-29,29.00,373.69,4.56
261.00,Parinaaz Chad,2022-10-04,23.00,267.29,3.89
262.00,Arhaan Dua,2023-05-05,69.00,785.32,3.18
263.00,Vihaan Swaminathan,2022-09-20,54.00,264.31,3.65
264.00,Oorja Kalita,2023-02-26,64.00,268.76,4.41
265.00,Baiju Boase,2023-05-26,57.00,423.83,3.49
266.00,Eshani Soman,2023-01-26,63.00,929.83,4.06
267.00,Jhanvi Sandhu,2023-04-07,92.00,151.34,3.67
268.00,Nishith Iyer,2023-03-24,24.00,406.07,3.54
269.00,Badal Manda,2023-07-11,24.00,1748.42,3.19
270.00,Vaibhav Dave,2022-10-06,25.00,1256.28,3.15
271.00,Shray Sunder,2023-05-02,83.00,755.85,3.15
272.00,Eva Vig,2022-12-30,98.00,1657.98,4.34
273.00,Shamik Subramanian,2023-03-26,11.00,405.24,4.86
274.00,Dhanush Gokhale,2023-01-03,80.00,1534.44,4.37
275.00,Rati Krishna,2022-11-06,97.00,918.67,3.79
276.00,Nayantara Borra,2022-10-25,75.00,593.97,3.93
277.00,Neelofar Datta,2022-12-13,92.00,550.34,3.25
278.00,Ira Dasgupta,2023-02-05,32.00,1737.33,3.83
279.00,Ahana  Batta,2023-03-27,74.00,1151.43,3.10
280.00,Emir Sankaran,2023-05-28,100.00,1936.61,4.14
281.00,Aayush Hayer,2023-01-20,47.00,837.23,4.75
282.00,Baiju Bhargava,2023-06-16,92.00,1514.25,3.54
283.00,Heer Ratti,2022-08-25,29.00,1881.61,4.37
284.00,Siya Gara,2023-06-01,49.00,973.01,4.02
285.00,Kismat Sachdev,2022-11-07,18.00,1855.33,4.91
286.00,Neelofar Brahmbhatt,2023-01-08,34.00,1064.91,3.36
287.00,Ojas Kothari,2022-08-29,11.00,1049.99,3.35
288.00,Tiya Bhalla,2023-04-13,20.00,650.75,4.45
289.00,Neysa Gole,2022-08-31,69.00,1033.27,3.11
290.00,Stuvan Char,2022-10-26,66.00,832.13,4.71
291.00,Shray Dixit,2022-10-17,67.00,446.11,4.27
292.00,Ivan Buch,2023-05-06,23.00,1963.22,4.91
293.00,Vritika Rao,2023-06-17,90.00,914.84,4.06
294.00,Vedika Shroff,2022-09-02,58.00,1534.93,3.90
295.00,Nitara Kalla,2023-03-10,35.00,1916.86,3.83
296.00,Riaan Vala,2022-09-12,66.00,785.13,3.66
297.00,Rhea Chaudhari,2023-05-13,25.00,807.09,3.28
298.00,Nayantara Issac,2023-06-15,87.00,363.54,3.71
299.00,Krish Srinivas,2023-02-16,34.00,1697.72,3.53
300.00,Vihaan Ahluwalia,2023-01-03,68.00,1948.69,3.76
301.00,Mehul Handa,2023-06-20,18.00,1009.50,4.35
302.00,Ishita Johal,2023-06-11,100.00,1670.59,4.27
303.00,Zain Dar,2022-08-10,87.00,857.29,4.19
304.00,Samar Krishnan,2023-02-07,51.00,886.74,4.18
305.00,Bhavin Dubey,2023-04-24,13.00,356.21,4.94
306.00,Samar Majumdar,2023-03-04,43.00,432.13,4.55
307.00,Ivan Kothari,2023-02-06,78.00,1401.82,3.82
308.00,Seher Bose,2023-05-31,97.00,770.58,4.05
309.00,Hazel Varghese,2022-09-18,69.00,195.01,4.35
310.00,Ivan Kari,2023-02-25,90.00,1788.99,4.59
311.00,Amira Ramachandran,2022-08-19,49.00,620.31,4.52
312.00,Ritvik Chopra,2023-07-04,74.00,1011.96,4.61
313.00,Raunak Agrawal,2022-10-23,18.00,1284.14,3.93
314.00,Yashvi Bhatia,2023-02-03,69.00,424.33,4.75
315.00,Abram Sidhu,2022-12-22,28.00,1843.23,4.33
316.00,Eva Chad,2022-09-20,75.00,113.77,4.35
317.00,Pari Vaidya,2022-11-24,83.00,1822.88,4.35
318.00,Ishaan Sem,2023-03-07,93.00,471.79,4.13
319.00,Faiyaz Ganesan,2023-03-02,16.00,1556.88,3.36
320.00,Dhruv Doshi,2022-10-22,64.00,1621.12,4.21
321.00,Heer Bedi,2023-02-18,75.00,1179.46,4.48
322.00,Anya Biswas,2023-05-14,61.00,279.44,3.14
323.00,Kimaya Bhalla,2023-01-21,64.00,1141.66,3.87
324.00,Manjari Chakrabarti,2023-01-27,28.00,953.98,4.49
325.00,Samar Sarraf,2022-11-26,80.00,1506.86,4.09
326.00,Gatik Lala,2023-05-22,62.00,1473.27,4.11
327.00,Mehul Mani,2022-08-11,66.00,1058.45,3.83
328.00,Indrans Choudhury,2022-10-10,24.00,103.49,4.71
329.00,Shaan Sheth,2023-06-14,91.00,341.13,4.58
330.00,Zain Dutt,2023-03-08,90.00,1701.20,3.05
331.00,Alisha Khurana,2023-05-13,17.00,830.75,4.10
332.00,Rhea Vig,2022-09-13,32.00,284.08,3.11
333.00,Raunak Agarwal,2022-10-03,95.00,1755.47,3.94
334.00,Lagan Sanghvi,2023-06-03,54.00,259.67,3.56
335.00,Farhan Malhotra,2023-04-16,100.00,1287.67,3.68
336.00,Dishani Arya,2023-06-04,16.00,671.62,4.69
337.00,Raghav Rajan,2023-03-16,13.00,423.83,4.15
338.00,Umang Mand,2023-02-05,66.00,1734.89,4.13
339.00,Tejas Varughese,2022-09-30,89.00,165.65,4.60
340.00,Neelofar Sibal,2023-05-21,91.00,662.18,3.80
341.00,Urvi Bansal,2022-10-07,28.00,1353.96,4.93
342.00,Jivin Lanka,2022-09-01,18.00,713.74,3.75
343.00,Zoya Karan,2023-03-08,36.00,1287.07,3.27
344.00,Samarth Chowdhury,2023-05-08,45.00,586.24,4.37
345.00,Miraan Sandal,2022-11-06,12.00,1275.66,3.64
346.00,Suhana Sankar,2023-04-26,99.00,162.98,4.76
347.00,Nitya Dhingra,2023-02-17,80.00,1132.96,3.66
348.00,Rhea Chana,2022-08-13,64.00,367.73,4.93
349.00,Kiaan Comar,2023-06-01,37.00,1254.99,4.94
350.00,Amani Master,2022-12-24,98.00,755.14,3.22
351.00,Anaya Dhar,2023-03-19,45.00,454.66,4.62
352.00,Jayesh Agrawal,2023-04-26,69.00,1185.69,3.10
353.00,Lavanya Kumer,2022-08-13,41.00,785.06,3.59
354.00,Rati Gade,2022-12-21,12.00,999.03,4.72
355.00,Anaya Doctor,2023-06-25,21.00,998.98,3.47
